Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Theo Pinson,SG,25,NYK,13,0,2.2,0.1,0.6,.125,0.0,0.5,.000,0.1,0.1,1.000,.125,0.0,0.0,,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.2,0.2
Mason Plumlee,C,30,DET,36,36,28.0,4.3,7.1,.606,0.0,0.2,.000,4.3,6.9,.621,.606,1.8,2.8,.660,2.8,6.3,9.1,3.9,0.8,0.8,2.1,3.5,10.4
Jakob Poeltl,C,25,SAS,34,16,23.9,3.0,4.9,.607,0.0,0.0,,3.0,4.9,.607,.607,0.5,1.4,.347,3.0,4.3,7.3,1.9,0.6,1.5,1.2,2.2,6.5
Vincent Poirier,C,27,PHI,8,0,3.5,0.3,1.0,.250,0.0,0.1,.000,0.3,0.9,.286,.250,0.3,0.5,.500,0.4,0.5,0.9,0.3,0.0,0.3,0.3,0.4,0.8
Aleksej Pokusevski,PF,19,OKC,19,2,18.7,1.5,6.1,.252,0.6,3.6,.176,0.9,2.5,.362,.304,0.2,0.2,1.000,0.5,3.4,3.9,1.4,0.4,1.1,1.4,1.1,3.9
Jordan Poole,SG,21,GSW,17,0,11.1,2.4,5.1,.471,1.2,3.2,.364,1.2,1.9,.656,.586,1.2,1.3,.955,0.1,1.3,1.4,1.1,0.2,0.2,0.5,0.9,7.2
Kevin Porter Jr.,G,20,HOU,2,1,33.5,8.0,18.0,.444,1.0,7.0,.143,7.0,11.0,.636,.472,3.0,4.0,.750,0.0,4.0,4.0,9.0,2.0,1.5,3.5,2.5,20.0
Michael Porter Jr.,SF,22,DEN,28,21,28.6,5.6,10.9,.515,2.4,5.6,.430,3.2,5.3,.605,.626,1.5,2.0,.750,1.4,5.8,7.1,0.8,0.8,1.0,1.1,2.4,15.1
Otto Porter,SF,27,CHI,18,6,22.3,3.6,8.5,.425,1.6,4.1,.392,2.0,4.4,.456,.520,1.7,2.0,.833,1.1,4.8,5.9,1.9,0.6,0.2,1.0,1.5,10.5
Bobby Portis,C,25,MIL,38,2,21.5,4.6,8.5,.540,1.1,2.3,.488,3.5,6.2,.559,.606,0.7,0.9,.714,1.8,5.2,7.0,1.1,0.8,0.4,0.8,1.9,10.9
Kristaps Porziņģis,C,25,DAL,22,22,30.2,7.8,16.1,.486,2.3,6.3,.370,5.5,9.8,.560,.558,2.8,3.3,.836,1.9,6.6,8.5,1.3,0.4,1.5,1.2,3.0,20.7
Dwight Powell,C,29,DAL,25,8,15.1,1.3,2.9,.452,0.0,0.4,.111,1.3,2.6,.500,.459,1.8,2.4,.754,1.1,2.4,3.5,0.8,0.5,0.3,0.7,2.4,4.5
Norman Powell,SG,27,TOR,36,25,29.8,6.3,12.9,.485,2.7,6.1,.443,3.6,6.9,.522,.589,3.4,3.8,.891,0.4,2.6,3.0,1.8,1.2,0.1,1.8,2.2,18.7
Taurean Prince,PF,26,TOT,29,10,21.4,2.7,7.2,.380,1.3,3.5,.386,1.4,3.7,.374,.474,1.6,1.8,.849,0.5,3.1,3.6,1.7,0.7,0.7,1.1,1.8,8.3
Payton Pritchard,SG,23,BOS,31,1,21.1,2.8,6.2,.451,1.4,3.4,.400,1.5,2.8,.511,.560,0.5,0.6,.944,0.5,1.7,2.3,2.3,0.6,0.2,1.1,1.9,7.5
Immanuel Quickley,PG,21,NYK,35,0,19.3,3.9,9.8,.395,1.9,4.9,.380,2.0,4.9,.409,.490,3.0,3.2,.920,0.5,1.9,2.3,2.4,0.5,0.3,1.0,2.0,12.5
Jahmi'us Ramsey,SG,19,SAC,5,0,3.4,0.6,1.0,.600,0.2,0.6,.333,0.4,0.4,1.000,.700,0.0,0.0,,0.0,0.8,0.8,0.2,0.0,0.2,0.2,0.0,1.4
Chasson Randle,PG,27,ORL,10,0,21.8,2.0,4.9,.408,1.1,3.3,.333,0.9,1.6,.563,.520,0.5,0.7,.714,0.2,1.8,2.0,3.1,0.4,0.1,1.0,2.3,5.6
Julius Randle,PF,26,NYK,39,39,36.6,8.2,17.0,.480,1.9,4.5,.412,6.3,12.4,.505,.535,4.7,5.9,.800,1.4,9.6,11.0,5.7,0.8,0.3,3.3,3.1,22.9
